id,question,gold_domain,draft_type,draft_category,gold_type,gold_category,reviewed
H01,전압 종합고조파왜형률(THD)의 국내외 허용 기준은 얼마인가요?,technical,일반문의,기술지원,일반문의,기술지원,y
H02,154kV급 수용가에 적용되는 전압왜형률 규정이 어떻게 되나요?,technical,일반문의,기술지원,일반문의,기술지원,y
H03,종합고조파왜형률은 어떤 공식으로 구하나요?,technical,일반문의,기술지원,일반문의,기술지원,y
H04,"저희 수용설비의 SCR이 30 정도인데 고조파 전류 허용기준이 어떻게 되고, 일본 가이드라인 기준으로는 kW당 유도전류가 얼마까지 허용되나요?",technical,일반문의,기술지원,일반문의,기술지원,y
H05,IT Product 청각장해 판정 기준이 뭔가요?,technical,일반문의,기타,일반문의,기타,y
G01,"TN-S 계통, TT 계통, IT 계통이 각각 무엇이며, Neutral(중성선)과 Ground(접지선)는 어떻게 다른가요?",technical,일반문의,기술지원,일반문의,기술지원,y
G02,"저압 접지방식 종류에는 뭐가 있고, 중성선이랑 접지선은 뭐가 다른가요?",technical,일반문의,기술지원,일반문의,기술지원,y
G03,인버터 달린 큰 모터는 접지선을 왜 더 두껍게 해야 하나요?,technical,일반문의,기술지원,일반문의,기술지원,y
G04,"440V 델타결선 변압기는 왜 1상 접지를 못 하고, GPT 3차권선은 접지 안 해도 계전기가 동작하나요?",technical,일반문의,기술지원,일반문의,기술지원,y
G05,IEEE Std 142 기준으로 공통접지 접지저항은 몇 옴이어야 하나요?,technical,일반문의,기술지원,일반문의,기술지원,y
G06,Mesh 접지에 IEEE-80 기준을 적용해서 피뢰접지랑 연결해도 되나요?,technical,일반문의,기술지원,일반문의,기술지원,y
M01,습한 환경의 콘센트 회로에서 한 달에 한 번 꼴로 새벽에만 누전차단기(ELB)가 트립되는 경우 원인과 조치 방법은 무엇인가요?,technical,오류/장애,기술지원,오류/장애,기술지원,y
M02,장마철에 새벽마다 누전차단기가 왜 자꾸 떨어지나요?,technical,오류/장애,전기안전관리자,오류/장애,기술지원,y
M03,차단기 명판에 있는 AF랑 AT는 뭘 뜻하나요?,technical,일반문의,기술지원,일반문의,기술지원,y
M04,"50A MCCB가 세대 20A 차단기보다 먼저 떨어지는 것도 이상한데, 여러 상가가 하나의 ELB로 묶여서 한 곳 누전에 전체가 정전되는 것도 있어요. 둘 다 원인이 뭔가요?",technical,일반문의,기술지원,오류/장애,기술지원,y
M05,"간판에 무전기 쓰면 소용량 MCCB가 트립되는 거랑, 순간정전 때도 차단기가 떨어지는 게 같은 원인인가요?",technical,일반문의,기술지원,오류/장애,기술지원,y
MT01,"소화전 주모터(Y-△방식) 수동투입 시 회전하지 않고 웅~ 소리만 나다가 t초 후 회전하는데, 마그넷 고장인가요?",technical,오류/장애,기술지원,오류/장애,기술지원,y
MT02,모터 결선방식(380V 전용 / 220·380V 겸용 / 220V 전용)에 따라 Y-△ 기동 가능 여부와 소손 위험이 다른 이유는 무엇인가요?,technical,일반문의,기술지원,일반문의,기술지원,y
MT03,Y기동 걸 때 웅 소리만 나고 안 돌아가는데 왜 그런가요?,technical,오류/장애,기술지원,오류/장애,기술지원,y
MT04,380V 전용 모터랑 220V 겸용 모터를 Y-델타로 기동시켜도 되나요?,technical,일반문의,기술지원,일반문의,기술지원,y
MT05,"회전방향이 반대로 돌고, 발전기 돌릴 때마다 벨트가 끊어지는데 상순서 문제인가요?",technical,일반문의,기술지원,오류/장애,기술지원,y
A01,산업용 계량기(예: 정화조)를 폐지하고 일반용으로 통합하면 요금이 더 유리한가요?,admin,일반문의,기타,일반문의,기타,y
A02,정화조 계량기 없애면 전기요금 아낄 수 있나요?,admin,일반문의,기타,일반문의,기타,y
A03,계량기 CT비가 잘못 설정되어 있었는데 요금을 더 내야 하나요?,admin,오류/장애,기타,오류/장애,기타,y
A04,전력량계 CT배율은 어떻게 계산하나요?,technical,일반문의,기술지원,일반문의,기술지원,y
A05,안전관리자가 사고 시 책임을 어디까지 지나요?,admin,일반문의,전기안전관리자,일반문의,전기안전관리자,y
P2-01,책임분계점 2차에 설치된 전주 피뢰기 설비에서 사고 발생 시 한전에 피해보상이나 교체비용을 요구할 수 있나요?,technical,일반문의,기타,일반문의,기술지원,y
P2-02,피뢰기 관련 설비가 책임분계점 2차에서 고장나면 한전이 보상해주나요?,technical,일반문의,전기안전관리자,일반문의,기술지원,y
P2-03,장기 사용(예: 13년)한 ASS(자동선로개폐기)의 수명 판정 기준과 교체 시 전원 차단 조치 방법은 무엇인가요?,technical,일반문의,기술지원,일반문의,기술지원,y
P2-04,ASS를 오래 썼는데 교체해야 하는 기준이 뭔가요?,technical,일반문의,기술지원,일반문의,기술지원,y
P2-05,CT(변류기) 구동 중 2차측을 개방(Open)하면 고전압이 발생하여 소손되는 전력학적 원리는 무엇인가요?,technical,일반문의,기술지원,일반문의,기술지원,y
P2-06,CT 2차를 열어놓으면 왜 위험한가요?,technical,일반문의,기술지원,일반문의,기술지원,y
P2-07,변압기 1차·2차 OCR의 한시 Tap과 순시 Tap을 계산하는 공식은 무엇인가요?,technical,일반문의,기술지원,일반문의,기술지원,y
P2-08,OCR 탭 계산은 어떻게 하나요?,technical,일반문의,홈페이지·전산,일반문의,기술지원,y
P2-09,지하변전실이 허리까지 침수된 상태에서 숙직자가 패널 스위치를 켜 모터를 가동시켰는데 감전되지 않았습니다. 이런 경우가 가능한가요?,technical,일반문의,기술지원,일반문의,기술지원,y
P2-10,변전실이 물에 잠겼는데 스위치 조작해도 안전한가요?,technical,오류/장애,전기안전관리자,일반문의,기술지원,y
P2-11,"특고압 인입선로(22,900V)의 전류를 저압(600V)용 후크온미터로 측정하면 안 되는 이유는 무엇인가요?",technical,일반문의,기술지원,일반문의,기술지원,y
P2-12,22.9kV 선로를 저압용 클램프미터로 측정해도 되나요?,technical,일반문의,기술지원,일반문의,기술지원,y
P2-13,"발전기 옆의 COOLANT HEATER(냉각수 예열히터)는 어떤 역할을 하며, SPEED ADJUST는 무엇인가요?",technical,일반문의,기술지원,일반문의,기술지원,y
P2-14,발전기 예열히터는 왜 필요한가요?,technical,일반문의,기술지원,일반문의,기술지원,y
P2-15,변압기 용량은 설비용량으로부터 어떻게 산정하나요? (수용률·부등률 개념),technical,일반문의,기술지원,일반문의,기술지원,y
P2-16,변압기 용량 산정할 때 수용률이 뭔가요?,technical,일반문의,기술지원,일반문의,기술지원,y
P2-17,220V 옥외 가로등 선로의 최소 절연저항 기준은 얼마인가요?,technical,일반문의,기술지원,일반문의,기술지원,y
P2-18,가로등 선로 절연저항 최소 기준이 뭔가요?,technical,일반문의,기술지원,일반문의,기술지원,y
P2-19,"전력량계는 유효전력만 측정하도록 설계되어 있다는데, 후크온미터나 CT처럼 모든 전류(무효분·고조파 포함)가 입력되는데 어떻게 유효분만 읽어낼 수 있나요?",technical,일반문의,기술지원,일반문의,기술지원,y
P2-20,전력량계가 유효전력만 재는 원리가 뭔가요?,technical,일반문의,기술지원,일반문의,기술지원,y
P2-21,돌입전류·단락전류·지락전류는 각각 정격전류의 몇 배 정도 흐르나요?,technical,일반문의,기술지원,일반문의,기술지원,y
P2-22,돌입전류나 단락전류는 정격전류의 몇 배까지 흐르나요?,technical,일반문의,기술지원,일반문의,기술지원,y
P2-23,-20~-45℃ 급냉실용 등기구·램프는 어떤 것을 선정해야 하나요?,technical,일반문의,기타,일반문의,기술지원,y
P2-24,냉동창고에는 어떤 조명을 써야 하나요?,technical,일반문의,기술지원,일반문의,기술지원,y
P2-25,전선굵기는 어떤 기준으로 선정하나요?,technical,일반문의,기술지원,일반문의,기술지원,y
P2-26,케이블 굵기는 어떻게 정하나요?,technical,일반문의,기술지원,일반문의,기술지원,y
P2-27,"역률계가 이상 반응(진상 -80%로 고정)을 보이고 콘덴서를 투입해도 값이 그대로일 때, 원인을 어떻게 좁혀가나요?",technical,오류/장애,기타,오류/장애,기술지원,y
P2-28,역률계가 이상하게 고정되어 안 움직이는데 원인이 뭔가요?,technical,오류/장애,기술지원,오류/장애,기술지원,y
P2-29,옥외용 파워퓨즈를 옥내(변압기가 설치된 실내)에 설치해서 사용해도 되나요?,technical,일반문의,기술지원,일반문의,기술지원,y
P2-30,파워퓨즈 옥외용을 옥내에서 써도 되나요?,technical,일반문의,기술지원,일반문의,기술지원,y
P2-31,안전관리자 선임신고 어떻게 하나요?,admin,신청,전기안전관리자,신청,전기안전관리자,y
P2-32,"발전설비가 300kW인데 상주로 선임해야 하나요, 대행으로 해도 되나요?",admin,일반문의,전기안전관리자,일반문의,전기안전관리자,y
P2-33,작년 기술질의 답변 모아놓은 자료집 어디서 받을 수 있나요?,admin,신청,기술지원,일반문의,기술지원,y
P2-34,"기술지원 좀 받고 싶은데요, 콘덴서가 배가 부풀었는데 교체해야 하나요?",technical,일반문의,기술지원,오류/장애,기술지원,y
P2-35,전기설계업이나 감리업 새로 등록하려면 어디에 뭘 내야 하나요?,admin,신청,설계감리,신청,설계감리,y
P2-36,종합감리업 하려면 감리원이 몇 명 필요하고 어떤 장비를 갖춰야 하나요?,admin,일반문의,설계감리,일반문의,설계감리,y
P2-37,공사감리 발주대상과 발주제외대상은 어떻게 되나요?,admin,일반문의,설계감리,일반문의,설계감리,y
P2-38,감리 대상이 아닌 공사는 어떤 게 있나요?,admin,일반문의,설계감리,일반문의,설계감리,y
P2-39,최초 경력신고를 하려면 제출서류와 절차는 어떻게 되나요?,admin,신청,경력회원,경력인증,경력회원,y
P2-40,경력신고 처음 할 때 뭘 내야 하나요?,admin,신청,경력회원,경력인증,경력회원,y
P2-41,컨소시엄 훈련의 대상은 누구인가요?,admin,일반문의,컨소시엄훈련,일반문의,컨소시엄훈련,y
P2-42,컨소시엄 교육 누가 들을 수 있나요?,admin,일반문의,컨소시엄훈련,일반문의,컨소시엄훈련,y
P2-43,설계·감리 용역 수행실적 신고 시 제출서류는 무엇인가요?,admin,변경,설계감리,신청,설계감리,y
P2-44,감리실적 신고할 때 뭘 내야 하나요?,admin,변경,설계감리,신청,설계감리,y
P2-45,교육 신청(일정·비용 등 확인)은 어떻게 하나요?,admin,신청,교육,신청,교육,y
P2-46,안전관리 교육 어떻게 신청하나요?,admin,신청,교육,신청,교육,y
P2-47,상조서비스를 신청하려면 어떻게 하나요?,admin,신청,경력회원,신청,기타,y
P2-48,협회 상조 서비스 어떻게 신청해요?,admin,신청,경력회원,신청,기타,y
P2-49,회원가입 절차는 어떻게 되나요?,admin,신청,경력회원,신청,경력회원,y
P2-50,협회 회원 가입은 어떻게 하나요?,admin,신청,경력회원,신청,경력회원,y
P2-51,정보통합센터에서 확인서·문서를 신청했는데 뷰어(미리보기)만 뜨고 컴퓨터가 멈춰요.,admin,오류/장애,홈페이지·전산,오류/장애,홈페이지·전산,y
P2-52,증명서 신청했는데 화면이 멈추고 안 나와요,admin,오류/장애,홈페이지·전산,오류/장애,홈페이지·전산,y
P2-53,업등록 시 예치 또는 출자를 반드시 해야 하나요?,admin,변경,공제사업,일반문의,공제사업,y
P2-54,설계업이나 감리업 등록할 때 출자금 꼭 내야 하나요?,admin,일반문의,설계감리,일반문의,공제사업,y
BP-01,설계감리 현장에서 확인해야 하는 절연저항 최소 기준이 얼마인가요?,technical,일반문의,설계감리,일반문의,기술지원,y
BP-02,전기안전관리자가 가로등 접지공사할 때 접지저항 기준이 몇 옴 이하여야 하나요?,technical,일반문의,전기안전관리자,일반문의,기술지원,y
BP-03,감리원이 활선 상태에서 절연저항을 측정하기 어려울 때 대신 확인할 수 있는 기준이 있나요?,technical,일반문의,설계감리,일반문의,기술지원,y
BP-04,"수전설비가 800kW인데 상주로 선임해야 하나요, 대행 가능한가요?",admin,일반문의,전기안전관리자,일반문의,전기안전관리자,y
BP-05,종합감리업 등록하려면 자본금이 얼마나 있어야 하나요?,admin,신청,설계감리,일반문의,설계감리,y
BP-06,전기설계업 새로 등록하는데 자본금 기준이 어떻게 되나요?,admin,신청,설계감리,일반문의,설계감리,y
BP-07,500kW 발전기가 자꾸 과부하로 멈추는 이유가 뭔가요,technical,일반문의,기술지원,오류/장애,기술지원,y
BP-08,22.9kV 배전선로 최대 단락전류가 몇 kA인가요,technical,일반문의,기술지원,일반문의,기술지원,y
BP-09,전선굵기는 어떤 기준으로 선정하나요,technical,일반문의,기술지원,일반문의,기술지원,y
