id,phase,category,gold_domain,type,question,source_file,gold_chunk_id,gold_answer,difficulty,notes
P2-01,phase2,la_sa,technical,A,책임분계점 2차에 설치된 전주 피뢰기 설비에서 사고 발생 시 한전에 피해보상이나 교체비용을 요구할 수 있나요?,knowledge_la_sa.md,knowledge_la_sa.md > Q. 책임분계점 2차에 설치된 전주 피뢰기 설비에서 사고 발생 시 한전에 피해보상이나 교체비용을 요구할 수 있나요?,요구할 수 없습니다. 책임분계점 2차 설비는 수용가 재산이라 그 영역 사고의 책임은 수용가에 귀속됩니다.,하,baseline
P2-02,phase2,la_sa,technical,B,피뢰기 관련 설비가 책임분계점 2차에서 고장나면 한전이 보상해주나요?,knowledge_la_sa.md,knowledge_la_sa.md > Q. 책임분계점 2차에 설치된 전주 피뢰기 설비에서 사고 발생 시 한전에 피해보상이나 교체비용을 요구할 수 있나요?,요구할 수 없습니다. 책임분계점 2차 설비는 수용가 재산입니다.,중,baseline paraphrase
P2-03,phase2,vcb_acb,technical,A,장기 사용(예: 13년)한 ASS(자동선로개폐기)의 수명 판정 기준과 교체 시 전원 차단 조치 방법은 무엇인가요?,knowledge_vcb_acb.md,knowledge_vcb_acb.md > Q. 장기 사용(예: 13년)한 ASS(자동선로개폐기)의 수명 판정 기준과 교체 시 전원 차단 조치 방법은 무엇인가요?,"ASS는 정격에서 200회, 무부하 자동개폐는 최대 1000회 수명. 외함부식·유량누설 없으면 13년도 계속 사용 가능.",하,baseline
P2-04,phase2,vcb_acb,technical,B,ASS를 오래 썼는데 교체해야 하는 기준이 뭔가요?,knowledge_vcb_acb.md,knowledge_vcb_acb.md > Q. 장기 사용(예: 13년)한 ASS(자동선로개폐기)의 수명 판정 기준과 교체 시 전원 차단 조치 방법은 무엇인가요?,"기계적 개폐수명(정격 200회, 무부하 최대 1000회)과 외함부식·유량누설 여부로 판단합니다.",중,baseline paraphrase
P2-05,phase2,ct_pt_mof,technical,A,CT(변류기) 구동 중 2차측을 개방(Open)하면 고전압이 발생하여 소손되는 전력학적 원리는 무엇인가요?,knowledge_ct_pt_mof.md,knowledge_ct_pt_mof.md > Q. CT(변류기) 구동 중 2차측을 개방(Open)하면 고전압이 발생하여 소손되는 전력학적 원리는 무엇인가요?,2차 개방시 감자작용 소멸로 1차전류 전체가 여자전류가 되어 권수비에 비례한 고전압이 2차에 유도됩니다.,하,baseline
P2-06,phase2,ct_pt_mof,technical,B,CT 2차를 열어놓으면 왜 위험한가요?,knowledge_ct_pt_mof.md,knowledge_ct_pt_mof.md > Q. CT(변류기) 구동 중 2차측을 개방(Open)하면 고전압이 발생하여 소손되는 전력학적 원리는 무엇인가요?,2차 개방시 권수비에 비례한 고전압이 유도되어 위험합니다.,중,baseline paraphrase
P2-07,phase2,relay,technical,A,변압기 1차·2차 OCR의 한시 Tap과 순시 Tap을 계산하는 공식은 무엇인가요?,knowledge_relay.md,knowledge_relay.md > Q. 변압기 1차·2차 OCR의 한시 Tap과 순시 Tap을 계산하는 공식은 무엇인가요?,한시Tap=최대부하전류x1.5x(1/CT비). 순시Tap은 변압기 1차·2차별로 별도 계산합니다.,중,baseline
P2-08,phase2,relay,technical,B,OCR 탭 계산은 어떻게 하나요?,knowledge_relay.md,knowledge_relay.md > Q. 변압기 1차·2차 OCR의 한시 Tap과 순시 Tap을 계산하는 공식은 무엇인가요?,한시Tap=최대부하전류x1.5x(1/CT비) 공식을 사용합니다.,중,baseline paraphrase
P2-09,phase2,safety_incidents,technical,A,지하변전실이 허리까지 침수된 상태에서 숙직자가 패널 스위치를 켜 모터를 가동시켰는데 감전되지 않았습니다. 이런 경우가 가능한가요?,knowledge_safety_incidents.md,knowledge_safety_incidents.md > Q. 지하변전실이 허리까지 침수된 상태에서 숙직자가 패널 스위치를 켜 모터를 가동시켰는데 감전되지 않았습니다. 이런 경우가 가능한가요?,"가능합니다. 감전 여부는 불순물 정도, 지락경로, 보폭전압 등 여러 조건에 좌우되어 감전되지 않은 것이 오히려 정상적일 수 있습니다.",하,baseline
P2-10,phase2,safety_incidents,technical,B,변전실이 물에 잠겼는데 스위치 조작해도 안전한가요?,knowledge_safety_incidents.md,knowledge_safety_incidents.md > Q. 지하변전실이 허리까지 침수된 상태에서 숙직자가 패널 스위치를 켜 모터를 가동시켰는데 감전되지 않았습니다. 이런 경우가 가능한가요?,"여러 조건(불순물, 지락경로, 보폭전압)에 따라 다르며, 안전을 보장할 수 없습니다.",중,baseline paraphrase
P2-11,phase2,misc_equipment,technical,A,"특고압 인입선로(22,900V)의 전류를 저압(600V)용 후크온미터로 측정하면 안 되는 이유는 무엇인가요?",knowledge_misc_equipment.md,"knowledge_misc_equipment.md > Q. 특고압 인입선로(22,900V)의 전류를 저압(600V)용 후크온미터로 측정하면 안 되는 이유는 무엇인가요?",절연 전계강도가 감당 못해 위험하므로 반드시 전용 특고압 후크온미터를 사용해야 합니다.,하,baseline
P2-12,phase2,misc_equipment,technical,B,22.9kV 선로를 저압용 클램프미터로 측정해도 되나요?,knowledge_misc_equipment.md,"knowledge_misc_equipment.md > Q. 특고압 인입선로(22,900V)의 전류를 저압(600V)용 후크온미터로 측정하면 안 되는 이유는 무엇인가요?",안 됩니다. 전용 특고압 후크온미터를 사용해야 합니다.,중,baseline paraphrase
P2-13,phase2,generator,technical,A,"발전기 옆의 COOLANT HEATER(냉각수 예열히터)는 어떤 역할을 하며, SPEED ADJUST는 무엇인가요?",knowledge_generator.md,"knowledge_generator.md > Q. 발전기 옆의 COOLANT HEATER(냉각수 예열히터)는 어떤 역할을 하며, SPEED ADJUST는 무엇인가요?",엔진 예열로 시동을 원활하게 하고 윤활유 점도를 낮춰 마모를 줄입니다. SPEED ADJUST는 엔진 속도(주파수) 조정용입니다.,하,baseline
P2-14,phase2,generator,technical,B,발전기 예열히터는 왜 필요한가요?,knowledge_generator.md,"knowledge_generator.md > Q. 발전기 옆의 COOLANT HEATER(냉각수 예열히터)는 어떤 역할을 하며, SPEED ADJUST는 무엇인가요?",시동을 원활하게 하고 엔진 마모를 줄이기 위함입니다.,중,baseline paraphrase
